iter	Passed	Remaining
0	51	51645
1	52	26055
2	52	17528
3	53	13242
4	53	10661
5	53	8943
6	54	7718
7	54	6796
8	55	6078
9	55	5505
10	56	5036
11	56	4644
12	56	4313
13	57	4030
14	57	3785
15	58	3567
16	58	3375
17	58	3205
18	59	3053
19	59	2919
20	59	2796
21	60	2685
22	60	2580
23	61	2486
24	61	2398
25	61	2317
26	62	2243
27	62	2175
28	63	2111
29	63	2053
30	63	1998
31	64	1945
32	64	1896
33	65	1849
34	65	1806
35	65	1764
36	66	1726
37	66	1688
38	67	1653
39	67	1620
40	67	1588
41	68	1557
42	68	1529
43	69	1502
44	69	1475
45	69	1450
46	70	1426
47	70	1402
48	71	1379
49	71	1358
50	71	1336
51	72	1316
52	72	1296
53	72	1278
54	73	1260
55	73	1243
56	74	1226
57	74	1212
58	75	1197
59	75	1182
60	75	1168
61	76	1155
62	76	1142
63	77	1129
64	77	1116
65	78	1104
66	78	1091
67	78	1079
68	79	1068
69	79	1057
70	80	1047
71	80	1037
72	80	1026
73	81	1017
74	81	1008
75	82	998
76	82	989
77	82	980
78	83	972
79	83	963
80	84	955
81	84	947
82	84	937
83	85	928
84	85	920
85	85	913
86	86	905
87	86	897
88	87	890
89	87	883
90	87	876
91	88	873
92	89	869
93	89	864
94	90	858
95	90	852
96	90	845
97	91	840
98	91	834
99	92	828
100	92	823
101	92	818
102	93	812
103	93	807
104	94	802
105	94	797
106	94	792
107	95	787
108	95	782
109	96	777
110	96	773
111	96	768
112	97	764
113	97	759
114	98	755
115	98	751
116	98	746
117	99	742
118	99	738
119	100	734
120	100	731
121	100	726
122	101	722
123	101	719
124	102	716
125	102	712
126	102	708
127	103	704
128	103	701
129	104	698
130	104	695
131	105	692
132	105	688
133	105	684
134	106	681
135	106	678
136	107	674
137	107	671
138	107	668
139	108	665
140	108	661
141	108	658
142	109	655
143	109	652
144	110	649
145	110	646
146	110	643
147	111	640
148	111	637
149	112	634
150	112	632
151	112	629
152	113	626
153	113	624
154	114	621
155	114	619
156	114	616
157	115	614
158	115	611
159	116	609
160	116	605
161	116	603
162	117	600
163	117	598
164	117	596
165	118	595
166	118	592
167	119	590
168	119	588
169	120	586
170	120	583
171	120	581
172	121	580
173	121	577
174	122	575
175	122	573
176	122	571
177	123	569
178	123	567
179	124	565
180	124	563
181	124	560
182	125	558
183	125	557
184	126	555
185	126	553
186	126	551
187	127	549
188	127	547
189	127	545
190	128	543
191	128	541
192	129	540
193	129	538
194	130	537
195	130	535
196	131	534
197	131	532
198	131	530
199	132	529
200	132	527
201	133	525
202	133	524
203	133	522
204	134	520
205	134	518
206	135	517
207	135	515
208	135	514
209	136	512
210	136	511
211	137	509
212	137	508
213	137	506
214	138	505
215	138	503
216	139	501
217	139	500
218	139	498
219	140	497
220	140	495
221	141	494
222	141	493
223	141	491
224	142	490
225	142	488
226	143	487
227	143	485
228	143	484
229	144	483
230	144	481
231	145	480
232	145	479
233	145	477
234	146	476
235	146	475
236	147	473
237	147	472
238	148	471
239	148	470
240	148	468
241	149	467
242	149	466
243	150	465
244	150	464
245	151	462
246	151	461
247	151	460
248	152	459
249	152	457
250	152	456
251	153	455
252	153	453
253	153	452
254	154	450
255	154	449
256	154	448
257	155	446
258	155	445
259	155	443
260	156	442
261	156	441
262	157	440
263	157	438
264	157	437
265	158	436
266	158	435
267	158	433
268	159	432
269	159	431
270	159	430
271	160	428
272	160	427
273	160	426
274	161	425
275	161	423
276	161	422
277	162	421
278	162	420
279	163	419
280	163	418
281	163	416
282	164	415
283	164	414
284	164	413
285	165	412
286	165	410
287	165	409
288	166	408
289	166	407
290	166	406
291	167	405
292	167	404
293	167	403
294	168	402
295	168	401
296	169	400
297	169	399
298	169	398
299	170	397
300	170	396
301	171	395
302	171	394
303	171	393
304	172	392
305	172	391
306	172	390
307	173	389
308	173	388
309	174	387
310	174	386
311	174	385
312	175	384
313	175	383
314	175	382
315	176	381
316	176	380
317	176	378
318	177	377
319	177	376
320	177	375
321	177	374
322	178	373
323	178	372
324	178	371
325	179	370
326	179	369
327	179	368
328	180	367
329	180	366
330	180	365
331	181	364
332	181	363
333	181	362
334	182	361
335	182	360
336	182	359
337	183	358
338	183	357
339	183	356
340	184	355
341	184	354
342	184	353
343	185	352
344	185	352
345	185	351
346	186	350
347	186	349
348	186	348
349	187	347
350	187	346
351	187	345
352	188	344
353	188	343
354	188	342
355	188	341
356	189	340
357	189	339
358	189	339
359	190	338
360	190	337
361	190	336
362	191	335
363	191	334
364	191	333
365	192	332
366	192	332
367	192	331
368	193	330
369	193	329
370	193	328
371	194	327
372	194	326
373	194	326
